articleID,snippet,topic
5adf6684068401528a2aa69b,"“I understand that they could meet with us, patronize us and do nothing in the end,” their lawyer says.",Culture/Education
5adf653f068401528a2aa697,The agency plans to publish a new regulation Tuesday that would restrict the kinds of scientific studies the agency can use when it develops policies.,Elections
5adf4626068401528a2aa628,What’s it like to eat at the second incarnation of the rule-defying Copenhagen restaurant? Our critic explains it all for you.,International
5adf40d2068401528a2aa619,President Trump welcomed President Emmanuel Macron of France to the White House on Tuesday for the first state visit since taking office.,International
5adf3d64068401528a2aa60f,"Alek Minassian, 25, a resident of Toronto’s Richmond Hill suburb, careened the white rental van onto a sidewalk, killing at least 10 people.",Gun Crimes
5adf341f068401528a2aa5e8,The Senate Veterans Affairs Committee is examining multiple claims against President Trump’s nominee to head the Veterans Affairs Department.,International
5adf2a0f068401528a2aa5c8,"Tuesday: Rent control appears headed to the ballot, Quentin Tarantino promotes a new film about Hollywood and could U.S.C.’s Sam Darnold be the No. 1 pick?",Art
5adf26cf068401528a2aa5c1,"A new study suggests that the white, Christian and male voters who supported Donald J. Trump were driven by concerns over losing their privilege.",Elections
5adf2108068401528a2aa5b3,What can you do when you want your child to be born in your home state? A Times Texpatriate explains.,Culture/Education
5adedaa8068401528a2aa4e6,"Are you encouraged to question and articulate your “queer devotions, frustrations, little triumphs, and large peculiarities”? Why or why not?",International
5adf0063068401528a2aa552,People often overestimate the time required to commute actively.,Art
5adf0024068401528a2aa551,"Tuesday: Revisiting the New York World’s Fair, exploring what’s at stake in the 2020 census, and giving a whale a bath.",NYC
5adef286068401528a2aa537,"For a pair of designers in Brooklyn, getting a place in East Hampton just before the birth of their son was out of the question. They did it anyway.",Leisure
5adef237068401528a2aa532,"After 11 months as chief, Jim Hackett has yet to satisfy those looking for a clear articulation of a strategy. But big moves could be in the offing.",Gun Crimes
5adef237068401528a2aa531,"The 2012 G.O.P. presidential nominee, running for an open Senate seat, faced conservatives who disliked his ideological swerving, and a fear among hard-right activists that they were losing power.",International
5adef230068401528a2aa527,Every bit of news sparks tidy cycles of backlash and anti-backlash — the sound of people who can’t sort out who’s actually winning the argument.,Social Issues
