id,topic,source,text,replyCount,vaderCatLabel,vaderCat
5adf6684068401528a2aa69b,Sports,nyt_kaggle,I understand that they could meet with us  patronize us and do nothing in the end  their lawyer says ,66,high,1.0
5adf653f068401528a2aa697,Climate,nyt_kaggle,The agency plans to publish a new regulation Tuesday that would restrict the kinds of scientific studies the agency can use when it develops policies ,308,high,1.0
5adf4626068401528a2aa628,Dining,nyt_kaggle,Whats it like to eat at the second incarnation of the rule defying Copenhagen restaurant  Our critic explains it all for you ,67,high,1.0
5adf40d2068401528a2aa619,Washington,nyt_kaggle,President Trump welcomed President Emmanuel Macron of France to the White House on Tuesday for the first state visit since taking office ,362,high,1.0
5adf3d64068401528a2aa60f,Foreign,nyt_kaggle,Alek Minassian    a resident of Torontos Richmond Hill suburb  careened the white rental van onto a sidewalk  killing at least  people ,486,high,1.0
5adf341f068401528a2aa5e8,Washington,nyt_kaggle,The Senate Veterans Affairs Committee is examining multiple claims against President Trumps nominee to head the Veterans Affairs Department ,1720,high,1.0
5adf2a0f068401528a2aa5c8,NYTNow,nyt_kaggle,Tuesday  Rent control appears headed to the ballot  Quentin Tarantino promotes a new film about Hollywood and could U S C s Sam Darnold be the No   pick ,20,high,1.0
5adf26cf068401528a2aa5c1,Express,nyt_kaggle,A new study suggests that the white  Christian and male voters who supported Donald J  Trump were driven by concerns over losing their privilege ,1085,high,1.0
5adf2108068401528a2aa5b3,Insider,nyt_kaggle,What can you do when you want your child to be born in your home state  A Times Texpatriate explains ,27,high,1.0
5adedaa8068401528a2aa4e6,Learning,nyt_kaggle,Are you encouraged to question and articulate your queer devotions  frustrations  little triumphs  and large peculiarities  Why or why not ,79,high,1.0
5adf0063068401528a2aa552,Magazine,nyt_kaggle,People often overestimate the time required to commute actively ,245,high,1.0
5adf0024068401528a2aa551,Metro,nyt_kaggle,Tuesday  Revisiting the New York Worlds Fair  exploring whats at stake in the  census  and giving a whale a bath ,46,high,1.0
5adef286068401528a2aa537,RealEstate,nyt_kaggle,For a pair of designers in Brooklyn  getting a place in East Hampton just before the birth of their son was out of the question  They did it anyway ,37,high,1.0
5adef237068401528a2aa532,Business,nyt_kaggle,After  months as chief  Jim Hackett has yet to satisfy those looking for a clear articulation of a strategy  But big moves could be in the offing ,38,high,1.0
5adef237068401528a2aa531,Politics,nyt_kaggle,The  G O P  presidential nominee  running for an open Senate seat  faced conservatives who disliked his ideological swerving  and a fear among hard right activists that they were losing power ,35,low,0.0
5adef230068401528a2aa527,Magazine,nyt_kaggle,Every bit of news sparks tidy cycles of backlash and anti backlash  the sound of people who cant sort out whos actually winning the argument ,12,high,1.0
5adef233068401528a2aa52c,National,nyt_kaggle,Juan Carlos Cruz was sexually abused by one of Chiles most prominent priests  This week he is staying at the Vatican in an extended visit with Pope Francis ,27,high,1.0
5adef226068401528a2aa520,National,nyt_kaggle,Gun owners who favor increased restrictions can be an overlooked group  Some have grown more vocal  marching and testifying in favor of limits ,171,high,1.0
5adef226068401528a2aa51f,BookReview,nyt_kaggle,Two new books  The Space Barons and Rocket Billionaires  tell the story of the entrepreneurial push to leave Earth ,26,low,0.0
5adef221068401528a2aa517,Magazine,nyt_kaggle,The th president of the United States on international relations and life after cancer ,99,high,1.0
5adef221068401528a2aa516,Magazine,nyt_kaggle,In inquiries on Benghazi and Russia and beyond  the California congressman has displayed a deep mistrust of the expert consensus on reality  a disposition that has helped him make friends in the current White House ,535,high,1.0
5adef218068401528a2aa514,Metro,nyt_kaggle,A decision by the states Supreme Court barring church use of county grants for historic preservation could have national ramifications ,23,high,1.0
5aded6a7068401528a2aa4e0,Learning,nyt_kaggle,Are you a procrastinator  a pre crastinator  someone who starts a task early and finishes it as soon as possible  or something in between ,33,high,1.0
5adeae5b068401528a2aa48c,Well,nyt_kaggle,Before my illness  I was a healthy  year old  But  my doctors speculated  I must have eaten some leafy greens contaminated by E  coli bacteria ,228,high,1.0
5adea843068401528a2aa47a,Business,nyt_kaggle,Branded idiots  residents of Grimsby  England  choose romance for a dying fishing industry over another that is thriving ,175,high,1.0
5ade8fa4068401528a2aa465,Games,nyt_kaggle,Peter Gordon takes on a metaphysical poet ,144,low,0.0
5ade8c22068401528a2aa460,Culture,nyt_kaggle,The late Queen of Disco and pioneer of electronic dance music gets the Broadway jukebox treatment ,27,high,1.0
5ade8a5b068401528a2aa45d,Business,nyt_kaggle,Women still earn far less for every dollar that men earn  but two professors say their research shows no significant difference at the chief executive level ,26,high,1.0
5ade7af0068401528a2aa44b,National,nyt_kaggle,Officials took the Nashville shooting suspects guns after a run in at the White House last year  But his father gave the guns back ,184,high,1.0
5ade7940068401528a2aa448,Editorial,nyt_kaggle,The travel ban case is the first major legal challenge to the presidents authority that the justices have heard ,294,high,1.0
5ade7448068401528a2aa443,OpEd,nyt_kaggle,Activist women are transforming the states politics ,200,high,1.0
5ade70ca068401528a2aa43f,OpEd,nyt_kaggle,Those who care about vulnerable minorities need to reckon with the economic inequality that leads so many people to vote for authoritarians ,154,high,1.0
5ade6ca1068401528a2aa43a,OpEd,nyt_kaggle,The Waffle House shooting is a painful reminder of Tennessees failure to protect its own citizens from mass murderers with guns ,409,high,1.0
